nation_region,soc3,soc_description,notes,percentage_of_workforce_who_are_full_time
Eastern,356,Public Services and Other Associate Professionals,,0.7930593097924801
Eastern,411,Administrative Occupations: Government and Related Organisations,,0.7040537243672877
Eastern,412,Administrative Occupations: Finance,,0.6585320571004208
Eastern,413,Administrative Occupations: Records,,0.8417139723906593
Eastern,416,Administrative Occupations: Office Managers and Supervisors,,0.8226047303264342
Eastern,421,Secretarial and Related Occupations,,0.5325594785018639
Eastern,511,Agricultural and Related Trades,,0.7586804448129957
Eastern,521,"Metal Forming, Welding and Related Trades",,1
Eastern,522,"Metal Machining, Fitting and Instrument Making Trades",,0.955014165935599
Eastern,523,Vehicle Trades,,0.9616068605754031
Eastern,524,Electrical and Electronic Trades,,0.9704802019514409
Eastern,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,0.8721537001897534
Eastern,531,Construction and Building Trades,,0.9429786765919217
Eastern,532,Building Finishing Trades,,0.9487041617378212
Eastern,533,Construction and Building Trades Supervisors,,0.9232428115015975
Eastern,541,Textiles and Garments Trades,Using England figure,0.7729112673248446
Eastern,542,Printing Trades,,0.9728787291747385
Eastern,543,Food Preparation and Hospitality Trades,,0.7837466192603397
Eastern,544,Other Skilled Trades,,0.8076538968561499
Eastern,612,Childcare and Related Personal Services,,0.4420287124609066
Eastern,613,Animal Care and Control Services,,0.7282178980335781
Eastern,614,Caring Personal Services,,0.595788573002561
Eastern,621,Leisure and Travel Services,,0.6411140812279038
Eastern,622,Hairdressers and Related Services,,0.4833275928875877
Eastern,711,Sales Assistants and Retail Cashiers,,0.280496234851159
Eastern,712,Sales Related Occupations,,0.5858280215283117
Eastern,713,Sales Supervisors,,0.6913160046395771
Eastern,721,Customer Service Occupations,,0.6274579310632441
Eastern,722,Customer Service Managers and Supervisors,,0.7763547739654019
London,222,Therapy Professionals,,0.6159769937466224
London,223,Nursing and Midwifery Professionals,,0.8584541481875061
London,231,Teaching and Educational Professionals,,0.7501333884672331
London,241,Legal Professionals,,0.8988252523001496
London,242,"Business, Research and Administrative Professionals",,0.9012284283445882
London,243,"Architects, Town Planners and Surveyors",,0.9284893132815616
London,244,Welfare Professionals,,0.9000163172064942
London,245,Librarians and Related Professionals,,0.7874994470739152
London,246,Quality and Regulatory Professionals,,0.9097325852086193
London,247,Media Professionals,,0.8655891514092532
London,311,"Science, Engineering and Production Technicians",,0.9069137707638778
London,312,Draughtspersons and Related Architectural Technicians,,0.8978667863115389
London,313,Information Technology Technicians,,0.9272697050290135
London,321,Health Associate Professionals,,0.7406550142770615
London,323,Welfare and Housing Associate Professionals,,0.728490876552425
London,331,Protective Service Occupations,,0.9566014476720296
London,341,"Artistic, Literary and Media Occupations",,0.7672689478733611
London,342,Design Occupations,,0.900175089150898
London,344,Sports and Fitness Occupations,,0.646311475409836
London,352,Legal Associate Professionals,,0.9002738593499716
London,353,"Business, Finance and Related Associate Professionals",,0.9356493223451082
London,354,"Sales, Marketing and Related Associate Professionals",,0.8910821124040138
London,355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
London,356,Public Services and Other Associate Professionals,,0.8071539427980193
