nation_region,soc3,soc_description,notes,percentage_of_workforce_who_are_full_time
South West,543,Food Preparation and Hospitality Trades,,0.8031038546809195
South West,544,Other Skilled Trades,,0.8474617244157937
South West,612,Childcare and Related Personal Services,,0.46034698408156294
South West,613,Animal Care and Control Services,,0.35986657569555
South West,614,Caring Personal Services,,0.6071289130399902
South West,621,Leisure and Travel Services,,0.330814701816275
South West,622,Hairdressers and Related Services,,0.4903169014084507
South West,711,Sales Assistants and Retail Cashiers,,0.29024655439191815
South West,712,Sales Related Occupations,,0.7057015015509621
South West,713,Sales Supervisors,,0.7987007247657769
South West,721,Customer Service Occupations,,0.690003716858016
South West,722,Customer Service Managers and Supervisors,,0.8681193664128818
Wales,222,Therapy Professionals,,0.6307018690367272
Wales,223,Nursing and Midwifery Professionals,,0.7302845711755881
Wales,231,Teaching and Educational Professionals,,0.7761165484893545
Wales,241,Legal Professionals,,0.8724200027704668
Wales,242,"Business, Research and Administrative Professionals",,0.9417451827316876
Wales,243,"Architects, Town Planners and Surveyors",,0.9583099224631981
Wales,244,Welfare Professionals,,0.8918796992481203
Wales,245,Librarians and Related Professionals,Using UK figure,0.6079838568169854
Wales,246,Quality and Regulatory Professionals,,1
Wales,247,Media Professionals,,0.882979803105653
Wales,311,"Science, Engineering and Production Technicians",,0.9459758312929468
Wales,312,Draughtspersons and Related Architectural Technicians,Using UK figure,0.8933426214107226
Wales,313,Information Technology Technicians,,0.8653879384828063
Wales,321,Health Associate Professionals,,0.7906000621826096
Wales,323,Welfare and Housing Associate Professionals,,0.6349150653264257
Wales,331,Protective Service Occupations,,0.9133315663927909
Wales,341,"Artistic, Literary and Media Occupations",,0.7013321463771341
Wales,342,Design Occupations,,0.8429201039665499
Wales,344,Sports and Fitness Occupations,,0.6382688263291887
Wales,352,Legal Associate Professionals,,1
Wales,353,"Business, Finance and Related Associate Professionals",,0.8815359227454695
Wales,354,"Sales, Marketing and Related Associate Professionals",,0.7838430134996368
Wales,355,Conservation and Environmental Associate Professionals,Using UK figure,0.7917027080976778
Wales,356,Public Services and Other Associate Professionals,,0.7810725284660809
Wales,411,Administrative Occupations: Government and Related Organisations,,0.7656400448460067
Wales,412,Administrative Occupations: Finance,,0.761747523495047
Wales,413,Administrative Occupations: Records,,0.7944154370034052
Wales,416,Administrative Occupations: Office Managers and Supervisors,,0.8981921979067554
Wales,421,Secretarial and Related Occupations,,0.5796267937156145
Wales,511,Agricultural and Related Trades,,0.9130473294162804
Wales,521,"Metal Forming, Welding and Related Trades",,0.8835907161564165
Wales,522,"Metal Machining, Fitting and Instrument Making Trades",,1
Wales,523,Vehicle Trades,,0.9605385329619313
Wales,524,Electrical and Electronic Trades,,0.8989246897402297
Wales,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
Wales,531,Construction and Building Trades,,0.9774619490373624
Wales,532,Building Finishing Trades,,0.9523494711147275
Wales,533,Construction and Building Trades Supervisors,,1
Wales,541,Textiles and Garments Trades,Using UK figure,0.7852935645240154
Wales,542,Printing Trades,,1
Wales,543,Food Preparation and Hospitality Trades,,0.6973284144808853
Wales,544,Other Skilled Trades,,0.9611888970768853
Wales,612,Childcare and Related Personal Services,,0.6060207748312152
Wales,613,Animal Care and Control Services,,0.5398138572905895
Wales,614,Caring Personal Services,,0.6435641119556852
Wales,621,Leisure and Travel Services,,0.7328481751013832
Wales,622,Hairdressers and Related Services,,0.5770431913263803
Wales,711,Sales Assistants and Retail Cashiers,,0.31458719851576994
Wales,712,Sales Related Occupations,,0.7095617363746299
Wales,713,Sales Supervisors,,0.6543283780637866
Wales,721,Customer Service Occupations,,0.7173566050175232
Wales,722,Customer Service Managers and Supervisors,,0.8282828282828283
West Midlands,222,Therapy Professionals,,0.6088426442591741
West Midlands,223,Nursing and Midwifery Professionals,,0.6632399322627149
West Midlands,231,Teaching and Educational Professionals,,0.7287167114353925
West Midlands,241,Legal Professionals,,0.7706455304066311
West Midlands,242,"Business, Research and Administrative Professionals",,0.9054190622584947
West Midlands,243,"Architects, Town Planners and Surveyors",,0.9047035893543992
West Midlands,244,Welfare Professionals,,0.6028916293219064
West Midlands,245,Librarians and Related Professionals,,0.6192132405852723
West Midlands,246,Quality and Regulatory Professionals,,0.9728331658665476
West Midlands,247,Media Professionals,,0.8364945669645728
West Midlands,311,"Science, Engineering and Production Technicians",,0.8883829164075508
West Midlands,312,Draughtspersons and Related Architectural Technicians,,1
West Midlands,313,Information Technology Technicians,,0.8956491932522097
West Midlands,321,Health Associate Professionals,,0.7204594017094017
West Midlands,323,Welfare and Housing Associate Professionals,,0.7102902942941095
West Midlands,331,Protective Service Occupations,,0.94723268432812
West Midlands,341,"Artistic, Literary and Media Occupations",,0.6753840094525404
West Midlands,342,Design Occupations,,0.9117871274548953
West Midlands,344,Sports and Fitness Occupations,,0.7385679652232068
West Midlands,352,Legal Associate Professionals,,0.8151065518715271
West Midlands,353,"Business, Finance and Related Associate Professionals",,0.8085329103885804
West Midlands,354,"Sales, Marketing and Related Associate Professionals",,0.8680475482637104
West Midlands,356,Public Services and Other Associate Professionals,,0.8764545788892976
West Midlands,411,Administrative Occupations: Government and Related Organisations,,0.6447167663655519
West Midlands,412,Administrative Occupations: Finance,,0.6960806645809412
West Midlands,413,Administrative Occupations: Records,,0.809457065030545
West Midlands,416,Administrative Occupations: Office Managers and Supervisors,,0.7185275080906149
West Midlands,421,Secretarial and Related Occupations,,0.5560041950707918
West Midlands,511,Agricultural and Related Trades,,0.8131280866851766
West Midlands,521,"Metal Forming, Welding and Related Trades",,1
West Midlands,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9753082604530424
West Midlands,523,Vehicle Trades,,0.9203093738902988
West Midlands,524,Electrical and Electronic Trades,,0.9886565925074439
West Midlands,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
West Midlands,531,Construction and Building Trades,,0.9572641990641148
West Midlands,532,Building Finishing Trades,,0.8785760837809291
West Midlands,533,Construction and Building Trades Supervisors,,0.9560449358059915
West Midlands,541,Textiles and Garments Trades,,0.6845732068761115
West Midlands,542,Printing Trades,,1
West Midlands,543,Food Preparation and Hospitality Trades,,0.7308079087123825
West Midlands,544,Other Skilled Trades,,0.8821242905518195
West Midlands,612,Childcare and Related Personal Services,,0.5442941067014009
West Midlands,613,Animal Care and Control Services,,0.753285913097263
West Midlands,614,Caring Personal Services,,0.6534038375928864
West Midlands,621,Leisure and Travel Services,,0.4447421545237658
West Midlands,622,Hairdressers and Related Services,,0.4760934973494075
West Midlands,711,Sales Assistants and Retail Cashiers,,0.32314283700937213
West Midlands,712,Sales Related Occupations,,0.5424230949145746
West Midlands,713,Sales Supervisors,,0.8772269938650307
West Midlands,721,Customer Service Occupations,,0.6910807355688858
West Midlands,722,Customer Service Managers and Supervisors,,0.7432335544004302
Yorkshire and Humberside,222,Therapy Professionals,,0.6635812857623695
Yorkshire and Humberside,223,Nursing and Midwifery Professionals,,0.6565680334137303
Yorkshire and Humberside,231,Teaching and Educational Professionals,,0.7170690147879293
Yorkshire and Humberside,241,Legal Professionals,,0.9633328274396722
Yorkshire and Humberside,242,"Business, Research and Administrative Professionals",,0.7912992799533756
Yorkshire and Humberside,243,"Architects, Town Planners and Surveyors",,0.9871631728171812
Yorkshire and Humberside,244,Welfare Professionals,,0.8907274935888784
Yorkshire and Humberside,245,Librarians and Related Professionals,,0.656466383739111
Yorkshire and Humberside,246,Quality and Regulatory Professionals,,1
Yorkshire and Humberside,247,Media Professionals,,0.7757027814831283
Yorkshire and Humberside,311,"Science, Engineering and Production Technicians",,0.9376898187665006
Yorkshire and Humberside,312,Draughtspersons and Related Architectural Technicians,,0.7564804673238408
Yorkshire and Humberside,313,Information Technology Technicians,,0.9078277119691353
Yorkshire and Humberside,321,Health Associate Professionals,,0.5039403440386407
Yorkshire and Humberside,323,Welfare and Housing Associate Professionals,,0.6769824973110394
Yorkshire and Humberside,331,Protective Service Occupations,,0.9193611114836322
Yorkshire and Humberside,341,"Artistic, Literary and Media Occupations",,0.6483048919226394
Yorkshire and Humberside,342,Design Occupations,,0.8028235687235464
Yorkshire and Humberside,344,Sports and Fitness Occupations,,0.7642666515246153
Yorkshire and Humberside,352,Legal Associate Professionals,,0.7087676272225628
Yorkshire and Humberside,353,"Business, Finance and Related Associate Professionals",,0.7837746715022508
Yorkshire and Humberside,354,"Sales, Marketing and Related Associate Professionals",,0.8441528677018277
Yorkshire and Humberside,355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
Yorkshire and Humberside,356,Public Services and Other Associate Professionals,,0.7676173823054483
Yorkshire and Humberside,411,Administrative Occupations: Government and Related Organisations,,0.6998371903709734
Yorkshire and Humberside,412,Administrative Occupations: Finance,,0.6852827222191027
Yorkshire and Humberside,413,Administrative Occupations: Records,,0.6232010329298888
Yorkshire and Humberside,416,Administrative Occupations: Office Managers and Supervisors,,0.7599478714161598
Yorkshire and Humberside,421,Secretarial and Related Occupations,,0.531369510513371
Yorkshire and Humberside,511,Agricultural and Related Trades,,0.862054421594816
Yorkshire and Humberside,521,"Metal Forming, Welding and Related Trades",,0.9531693856018181
Yorkshire and Humberside,522,"Metal Machining, Fitting and Instrument Making Trades",,0.956452194828623
Yorkshire and Humberside,523,Vehicle Trades,,0.9438769801307566
Yorkshire and Humberside,524,Electrical and Electronic Trades,,0.9803849000740192
Yorkshire and Humberside,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
Yorkshire and Humberside,531,Construction and Building Trades,,0.9720544398097635
Yorkshire and Humberside,532,Building Finishing Trades,,0.8543507621068879
Yorkshire and Humberside,533,Construction and Building Trades Supervisors,,1
Yorkshire and Humberside,541,Textiles and Garments Trades,,1
Yorkshire and Humberside,542,Printing Trades,,0.9573791348600509
Yorkshire and Humberside,543,Food Preparation and Hospitality Trades,,0.7589594575895946
Yorkshire and Humberside,544,Other Skilled Trades,,0.7389836984207845
Yorkshire and Humberside,612,Childcare and Related Personal Services,,0.5158264221676009
Yorkshire and Humberside,613,Animal Care and Control Services,,0.5424469964664311
Yorkshire and Humberside,614,Caring Personal Services,,0.6294190439166832
Yorkshire and Humberside,621,Leisure and Travel Services,,0.6897928150541722
Yorkshire and Humberside,622,Hairdressers and Related Services,,0.4856662126432177
Yorkshire and Humberside,711,Sales Assistants and Retail Cashiers,,0.3046492312629185
Yorkshire and Humberside,712,Sales Related Occupations,,0.7260323245887488
Yorkshire and Humberside,713,Sales Supervisors,,0.7140511557505324
Yorkshire and Humberside,721,Customer Service Occupations,,0.6364516412919123
Yorkshire and Humberside,722,Customer Service Managers and Supervisors,,0.8415480304077402
England,222,Therapy Professionals,,0.5543966036260265
England,223,Nursing and Midwifery Professionals,,0.6975614708484437
England,231,Teaching and Educational Professionals,,0.7345217529776623
England,241,Legal Professionals,,0.8525041496071705
England,242,"Business, Research and Administrative Professionals",,0.8707577370708515
England,243,"Architects, Town Planners and Surveyors",,0.9303431727264039
England,244,Welfare Professionals,,0.7981125107709983
England,245,Librarians and Related Professionals,,0.5602387004088849
England,246,Quality and Regulatory Professionals,,0.9188613408000945
England,247,Media Professionals,,0.8170214518054927
England,311,"Science, Engineering and Production Technicians",,0.8902838212475745
England,312,Draughtspersons and Related Architectural Technicians,,0.8877146242557608
England,313,Information Technology Technicians,,0.8987560882946799
England,321,Health Associate Professionals,,0.6703791107574585
England,323,Welfare and Housing Associate Professionals,,0.6850797910210696
England,331,Protective Service Occupations,,0.9405578485084383
England,341,"Artistic, Literary and Media Occupations",,0.7202257749803932
England,342,Design Occupations,,0.8545654525621121
England,344,Sports and Fitness Occupations,,0.5673158038568017
England,352,Legal Associate Professionals,,0.8087608842782963
England,353,"Business, Finance and Related Associate Professionals",,0.8846278464401783
England,354,"Sales, Marketing and Related Associate Professionals",,0.8753940495662602
England,355,Conservation and Environmental Associate Professionals,,0.7046140781279486
England,356,Public Services and Other Associate Professionals,,0.7925217621944984
England,411,Administrative Occupations: Government and Related Organisations,,0.7102672803031402
England,412,Administrative Occupations: Finance,,0.6842213937986033
England,413,Administrative Occupations: Records,,0.7502553210481684
England,416,Administrative Occupations: Office Managers and Supervisors,,0.7927077831682611
England,421,Secretarial and Related Occupations,,0.5408689606340684
England,511,Agricultural and Related Trades,,0.8086226402350478
England,521,"Metal Forming, Welding and Related Trades",,0.9766781688687409
England,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9646482870134239
England,523,Vehicle Trades,,0.9484716917922948
England,524,Electrical and Electronic Trades,,0.9664093453172982
England,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,0.9764590065700772
England,531,Construction and Building Trades,,0.9481669139874123
England,532,Building Finishing Trades,,0.9098241303891902
England,533,Construction and Building Trades Supervisors,,0.9804260094524894
England,541,Textiles and Garments Trades,,0.7729112673248446
England,542,Printing Trades,,0.9447535558935767
England,543,Food Preparation and Hospitality Trades,,0.7477959782265805
England,544,Other Skilled Trades,,0.7798161726737581
England,612,Childcare and Related Personal Services,,0.5364476137017249
England,613,Animal Care and Control Services,,0.6070559443443829
England,614,Caring Personal Services,,0.6288309812685186
England,621,Leisure and Travel Services,,0.5809088711626783
England,622,Hairdressers and Related Services,,0.48088793953862646
England,711,Sales Assistants and Retail Cashiers,,0.32684979289172966
England,712,Sales Related Occupations,,0.682473944950877
England,713,Sales Supervisors,,0.7948088220019158
England,721,Customer Service Occupations,,0.6821556240842597
England,722,Customer Service Managers and Supervisors,,0.849063978162055
UK,222,Therapy Professionals,,0.5558715810800281
UK,223,Nursing and Midwifery Professionals,,0.6987111924985143
UK,231,Teaching and Educational Professionals,,0.7391660217213466
UK,241,Legal Professionals,,0.8577982279823777
UK,242,"Business, Research and Administrative Professionals",,0.8776196809640766
UK,243,"Architects, Town Planners and Surveyors",,0.9329470001665913
UK,244,Welfare Professionals,,0.7992662428148406
UK,245,Librarians and Related Professionals,,0.6079838568169854
UK,246,Quality and Regulatory Professionals,,0.925148334094021
UK,247,Media Professionals,,0.827188417884469
UK,311,"Science, Engineering and Production Technicians",,0.8977521394547839
UK,312,Draughtspersons and Related Architectural Technicians,,0.8933426214107226
UK,313,Information Technology Technicians,,0.9059626954590253
UK,321,Health Associate Professionals,,0.681659295025657
UK,323,Welfare and Housing Associate Professionals,,0.6851935669522201
UK,331,Protective Service Occupations,,0.9415581604574388
UK,341,"Artistic, Literary and Media Occupations",,0.7180656095340263
UK,342,Design Occupations,,0.8379005020164635
UK,344,Sports and Fitness Occupations,,0.5708812490256976
UK,352,Legal Associate Professionals,,0.8245959953240316
UK,353,"Business, Finance and Related Associate Professionals",,0.88402746975421
UK,354,"Sales, Marketing and Related Associate Professionals",,0.8747935875606386
UK,355,Conservation and Environmental Associate Professionals,,0.7917027080976778
UK,356,Public Services and Other Associate Professionals,,0.7968764331858387
UK,411,Administrative Occupations: Government and Related Organisations,,0.7149400608337806
UK,412,Administrative Occupations: Finance,,0.6853177908910684
UK,413,Administrative Occupations: Records,,0.7448205281813189
UK,416,Administrative Occupations: Office Managers and Supervisors,,0.8008827423399142
UK,421,Secretarial and Related Occupations,,0.5461182846502051
UK,511,Agricultural and Related Trades,,0.8273662802973895
UK,521,"Metal Forming, Welding and Related Trades",,0.9771280797943006
UK,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9683495076192733
UK,523,Vehicle Trades,,0.9531268686184916
UK,524,Electrical and Electronic Trades,,0.9655399810740478
UK,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,0.9811118265722258
UK,531,Construction and Building Trades,,0.9501170785839352
UK,532,Building Finishing Trades,,0.9131895182117149
UK,533,Construction and Building Trades Supervisors,,0.9845159307797803
UK,541,Textiles and Garments Trades,,0.7852935645240154
UK,542,Printing Trades,,0.945288053938528
UK,543,Food Preparation and Hospitality Trades,,0.7464029262978549
UK,544,Other Skilled Trades,,0.8033923899492547
UK,612,Childcare and Related Personal Services,,0.541162976893736
UK,613,Animal Care and Control Services,,0.6037237378488555
UK,614,Caring Personal Services,,0.6330082484067434
UK,621,Leisure and Travel Services,,0.5865765596792722
UK,622,Hairdressers and Related Services,,0.47986030031142235
UK,711,Sales Assistants and Retail Cashiers,,0.32745080201847654
UK,712,Sales Related Occupations,,0.6957727378318931
UK,713,Sales Supervisors,,0.773239383690342
UK,721,Customer Service Occupations,,0.6889880130472562
UK,722,Customer Service Managers and Supervisors,,0.8473995256714313
