occupation_group,geography_name,demand_entry_sl,demand_entry_fe,demand_entry_he
Sales And Customer Service Occupations,LANCASHIRE,5667.0,2954.0,1118.0
Sales And Customer Service Occupations,LEEDS CITY REGION,12911.0,6670.0,2506.0
Sales And Customer Service Occupations,"DERBY, DERBYSHIRE, NOTTINGHAM AND NOTTINGHAMSHIRE",6606.0,3509.0,1493.0
Sales And Customer Service Occupations,GLASGOW CITY REGION,7639.0,3759.0,1744.0
Sales And Customer Service Occupations,HUMBER,2253.0,1107.0,403.0
Sales And Customer Service Occupations,GREATER CAMBRIDGE & GREATER PETERBOROUGH,6262.0,3381.0,1346.0
Sales And Customer Service Occupations,GREATER MANCHESTER,14026.0,7204.0,2967.0
Sales And Customer Service Occupations,WEST OF ENGLAND,6181.0,3518.0,1849.0
Sales And Customer Service Occupations,GLOUCESTERSHIRE,2210.0,1178.0,529.0
Sales And Customer Service Occupations,EDINBURGH AND THE LOTHIANS,6729.0,3341.0,1164.0
Sales And Customer Service Occupations,UK Total,291967.74,156210.2,66099.36
Sales And Customer Service Occupations,GREATER BIRMINGHAM AND SOLIHULL,8625.0,4667.0,1938.0
Sales And Customer Service Occupations,GREATER LONDON,43543.93,24087.86,10550.8
Sales And Customer Service Occupations,SWINDON AND WILTSHIRE,2979.0,1711.0,704.0
Sales And Customer Service Occupations,NORTHAMPTONSHIRE,2703.0,1435.0,651.0
Sales And Customer Service Occupations,ENGLAND,248637.08999999997,133696.22,57057.9
Sales And Customer Service Occupations,ENTERPRISE M3,6441.0,3327.0,1519.0
Sales And Customer Service Occupations,BUCKINGHAMSHIRE THAMES VALLEY,1730.0,924.0,435.0
Sales And Customer Service Occupations,HERTFORDSHIRE,5611.0,3155.0,1400.0
Sales And Customer Service Occupations,NORTH EAST,8269.0,4050.0,1874.0
Sales And Customer Service Occupations,STOKE-ON-TRENT AND STAFFORDSHIRE,3227.0,1794.0,701.0
Sales And Customer Service Occupations,SCOTLAND,25889.32,13064.72,5197.969999999999
Sales And Customer Service Occupations,CUMBRIA,1786.0,1009.0,353.0
Sales And Customer Service Occupations,COAST TO CAPITAL,7072.0,3596.0,1528.0
Sales And Customer Service Occupations,SOUTH EAST ENGLAND,39839.25,21286.44,9483.609999999999
Sales And Customer Service Occupations,YORKSHIRE AND THE HUMBER,27865.42,14387.560000000003,5420.71
Sales And Customer Service Occupations,WORCESTERSHIRE,1766.0,943.0,375.0
Sales And Customer Service Occupations,CHESHIRE AND WARRINGTON,4619.0,2347.0,974.0
Sales And Customer Service Occupations,OXFORDSHIRE LEP,3192.0,1734.0,732.0
Associate Professional And Technical Occupations,CORNWALL AND THE ISLES OF SCILLY,766.0,829.0,1843.0
Associate Professional And Technical Occupations,SOUTH EAST,7433.0,8174.0,16449.0
Associate Professional And Technical Occupations,SWANSEA BAY CITY REGION,765.0,981.0,1540.0
Associate Professional And Technical Occupations,GREATER LINCOLNSHIRE,1147.0,1395.0,2504.0
Associate Professional And Technical Occupations,NORTHERN IRELAND,3047.2899999999995,3415.54,6758.389999999999
Associate Professional And Technical Occupations,THAMES VALLEY BERKSHIRE,3611.0,3341.0,8307.0
Associate Professional And Technical Occupations,SOUTH WEST ENGLAND,16945.56,16528.050000000003,34217.99
Associate Professional And Technical Occupations,"YORK, NORTH YORKSHIRE AND EAST RIDING",1455.0,1669.0,3322.0
Associate Professional And Technical Occupations,LIVERPOOL CITY REGION,2237.0,2409.0,4804.0
Associate Professional And Technical Occupations,SHEFFIELD CITY REGION,2730.0,2554.0,6547.0
Associate Professional And Technical Occupations,CARDIFF CAPITAL REGION,1008.0,1132.0,1901.0
Associate Professional And Technical Occupations,LONDON,35430.0,34893.0,90426.0
Associate Professional And Technical Occupations,NORTH WEST ENGLAND,17969.91,17966.54,39442.420000000006
Associate Professional And Technical Occupations,WALES,6136.5199999999995,6486.660000000001,11712.9
Associate Professional And Technical Occupations,DORSET,1645.0,1816.0,3595.0
Associate Professional And Technical Occupations,EAST OF ENGLAND,17963.870000000003,18250.33,36773.29
Associate Professional And Technical Occupations,BELFAST METROPOLITAN AREA,1709.0,1872.0,4008.0
Associate Professional And Technical Occupations,EAST MIDLANDS,11577.919999999998,11782.34,25642.88
Associate Professional And Technical Occupations,WEST MIDLANDS,15389.139999999998,15971.300000000001,34083.51
Associate Professional And Technical Occupations,SOUTH EAST MIDLANDS,5492.0,5685.0,12103.0
Associate Professional And Technical Occupations,NORTH EAST ENGLAND,5421.77,5688.13,10984.490000000002
Associate Professional And Technical Occupations,LEICESTER AND LEICESTERSHIRE,2086.0,2203.0,5205.0
Associate Professional And Technical Occupations,TEES VALLEY,793.0,1010.0,1601.0
Associate Professional And Technical Occupations,BLACK COUNTRY,1317.0,1453.0,2665.0
Associate Professional And Technical Occupations,THE MARCHES,963.0,1011.0,2183.0
Associate Professional And Technical Occupations,COVENTRY AND WARWICKSHIRE,3001.0,2969.0,6908.0
Associate Professional And Technical Occupations,NEW ANGLIA,2605.0,2811.0,5192.0
Associate Professional And Technical Occupations,HEART OF THE SOUTH WEST,3140.0,3358.0,6785.0
Associate Professional And Technical Occupations,SOLENT,2801.0,2997.0,6175.0
Associate Professional And Technical Occupations,LANCASHIRE,2955.0,3286.0,6206.0
Associate Professional And Technical Occupations,LEEDS CITY REGION,6149.0,6168.0,14456.0
Associate Professional And Technical Occupations,"DERBY, DERBYSHIRE, NOTTINGHAM AND NOTTINGHAMSHIRE",3706.0,4013.0,8564.0
Associate Professional And Technical Occupations,GLASGOW CITY REGION,3356.0,3425.0,7319.0
Associate Professional And Technical Occupations,HUMBER,945.0,1139.0,2186.0
Associate Professional And Technical Occupations,GREATER CAMBRIDGE & GREATER PETERBOROUGH,4097.0,4247.0,9014.0
Associate Professional And Technical Occupations,GREATER MANCHESTER,6985.0,6753.0,16364.0
Associate Professional And Technical Occupations,WEST OF ENGLAND,4599.0,4681.0,11607.0
Associate Professional And Technical Occupations,GLOUCESTERSHIRE,1646.0,1603.0,3355.0
Associate Professional And Technical Occupations,EDINBURGH AND THE LOTHIANS,3047.0,2524.0,6756.0
Associate Professional And Technical Occupations,UK Total,187371.93,188506.31000000003,407483.32999999996
Associate Professional And Technical Occupations,GREATER BIRMINGHAM AND SOLIHULL,5197.0,5202.0,12390.0
Associate Professional And Technical Occupations,GREATER LONDON,37051.64000000001,36329.350000000006,92711.12
Associate Professional And Technical Occupations,SWINDON AND WILTSHIRE,1794.0,1958.0,3826.0
Associate Professional And Technical Occupations,NORTHAMPTONSHIRE,1629.0,1632.0,3836.0
Associate Professional And Technical Occupations,ENGLAND,165802.65,165460.25000000003,364944.1500000001
Associate Professional And Technical Occupations,ENTERPRISE M3,3965.0,3873.0,8905.0
Associate Professional And Technical Occupations,BUCKINGHAMSHIRE THAMES VALLEY,1262.0,1297.0,3016.0
Associate Professional And Technical Occupations,HERTFORDSHIRE,3605.0,3716.0,8410.0
Associate Professional And Technical Occupations,NORTH EAST,3589.0,3736.0,7183.0
Associate Professional And Technical Occupations,STOKE-ON-TRENT AND STAFFORDSHIRE,1843.0,1979.0,3922.0
Associate Professional And Technical Occupations,SCOTLAND,12385.47,13143.86,24067.890000000003
Associate Professional And Technical Occupations,CUMBRIA,439.0,681.0,1291.0
Associate Professional And Technical Occupations,COAST TO CAPITAL,4882.0,5069.0,10786.0
Associate Professional And Technical Occupations,SOUTH EAST ENGLAND,30443.760000000006,29550.36,61444.600000000006
Associate Professional And Technical Occupations,YORKSHIRE AND THE HUMBER,13039.08,13393.85,29643.85
Associate Professional And Technical Occupations,WORCESTERSHIRE,988.0,1012.0,2134.0
