nation_region,soc3,soc_name,2012,2013,2014,2015,notes:
UK,313,Information Technology Technicians,198483.75,201852.25,190649.75,179257.75,
UK,321,Health Associate Professionals,145311.25,142026,145070,142568.5,
UK,323,Welfare and Housing Associate Professionals,278254,282949.75,277041,283313.25,
UK,331,Protective Service Occupations,378666.5,350455.5,351057,351820,
UK,341,"Artistic, Literary and Media Occupations",328296.5,329043.5,360915,370005,
UK,342,Design Occupations,131162.75,141700,135107.25,162057.5,
UK,344,Sports and Fitness Occupations,139931,139335,156340.5,165990,
UK,352,Legal Associate Professionals,56700.5,69605,54812.75,67705,
UK,353,"Business, Finance and Related Associate Professionals",619672.25,632239.75,660278,654381,
UK,354,"Sales, Marketing and Related Associate Professionals",862219,877336.75,913604.75,933429.75,
UK,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,
UK,356,Public Services and Other Associate Professionals,483308.75,488321.25,520437.75,492944.25,
UK,411,Administrative Occupations: Government and Related Organisations,444263.5,422349.25,399453.75,376377.75,
UK,412,Administrative Occupations: Finance,766536.5,757417.5,773720.25,802414.25,
UK,413,Administrative Occupations: Records,391237.75,389253.75,424995.5,440224.75,
UK,416,Administrative Occupations: Office Managers and Supervisors,200785.75,199948,195202.75,211816.5,
UK,421,Secretarial and Related Occupations,691776.75,713654.25,688633.75,688386,
UK,511,Agricultural and Related Trades,298802.75,279112,325728.75,299235.5,
UK,521,"Metal Forming, Welding and Related Trades",95192.5,102994.5,118682.25,112716.25,
UK,522,"Metal Machining, Fitting and Instrument Making Trades",280707.5,279690.75,291456.75,302466.75,
UK,523,Vehicle Trades,266753.75,277460.75,275987.75,290198.25,
UK,524,Electrical and Electronic Trades,406235,403470.25,412569.75,452863.75,
UK,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",37329.75,39869,39283.75,36742.25,
UK,531,Construction and Building Trades,775530,772684.75,814065.5,808731,
UK,532,Building Finishing Trades,199039.5,198052.5,199253.75,205883.5,
UK,533,Construction and Building Trades Supervisors,57832.75,51043,55990,58700.75,
UK,541,Textiles and Garments Trades,39266.75,40970.75,46384,43210,
UK,542,Printing Trades,57083.75,50388.75,61576.75,55648.5,
UK,543,Food Preparation and Hospitality Trades,436431.5,454870.75,457317.25,472846,
UK,544,Other Skilled Trades,96284.75,92772.25,94846,99167,
UK,612,Childcare and Related Personal Services,781164.75,807449,814577.25,833093,
UK,613,Animal Care and Control Services,66870.5,74125.25,83761,85503.75,
UK,614,Caring Personal Services,1153179,1212025,1275333.25,1286400.5,
UK,621,Leisure and Travel Services,180883.75,175346.5,168131,172110.75,
UK,622,Hairdressers and Related Services,246676,254427.5,265539.75,295063.25,
UK,711,Sales Assistants and Retail Cashiers,1487436.75,1432336,1440123.25,1429842.25,
UK,712,Sales Related Occupations,156565,148636.5,155709.25,159292,
UK,713,Sales Supervisors,204427.75,187918.5,199133,179606.75,
UK,721,Customer Service Occupations,408903.5,412609.25,404501.25,431771.25,
UK,722,Customer Service Managers and Supervisors,128689.5,117383.5,129640.75,127116,
