nation_region,soc3,soc_name,2012,2013,2014,2015,notes:
North West,531,Construction and Building Trades,79729.25,77959.5,80709.75,86480.5,
North West,532,Building Finishing Trades,23718,20154.5,20994.75,19973.25,
North West,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
North West,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
North West,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
North West,543,Food Preparation and Hospitality Trades,45040.5,51201,56792.25,57903.5,
North West,544,Other Skilled Trades,8338.5,10228.5,6905,10101.25,
North West,612,Childcare and Related Personal Services,94730.75,81792,79224.75,93002.75,
North West,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,Using England figures
North West,614,Caring Personal Services,151419.25,137905.5,154401.75,155700.75,
North West,621,Leisure and Travel Services,26344.25,17040.5,14246.25,24469.25,
North West,622,Hairdressers and Related Services,30745.25,29702.5,30462.75,28264.75,
North West,711,Sales Assistants and Retail Cashiers,175627,160098,165906.25,158712,
North West,712,Sales Related Occupations,21289,15735.25,19990.75,17713.25,
North West,713,Sales Supervisors,20189,17386.25,17132.75,17758.75,
North West,721,Customer Service Occupations,48734,63489,57546.5,58711,
North West,722,Customer Service Managers and Supervisors,15199.75,18921.25,15066.75,13780.5,
Northern Ireland,222,Therapy Professionals,129962.5,140418.25,144171.25,126361,Using UK figures
Northern Ireland,223,Nursing and Midwifery Professionals,20448,18954.25,21673.5,26157.25,
Northern Ireland,231,Teaching and Educational Professionals,40089.75,42145.25,44315.25,43746,
Northern Ireland,241,Legal Professionals,194331.25,197011,187533.25,172157.5,Using UK figures
Northern Ireland,242,"Business, Research and Administrative Professionals",16290.75,16531,13160.75,15811,
Northern Ireland,243,"Architects, Town Planners and Surveyors",6226,6945.25,7485.5,6246.25,
Northern Ireland,244,Welfare Professionals,158013.75,173970.5,165747,154417.25,Using UK figures
Northern Ireland,245,Librarians and Related Professionals,32136.5,39633.5,35890.5,36878.5,Using UK figures
Northern Ireland,246,Quality and Regulatory Professionals,108887.25,114562,115241.5,118232.75,Using UK figures
Northern Ireland,247,Media Professionals,142164,136728.75,144046.75,147146.25,Using UK figures
Northern Ireland,311,"Science, Engineering and Production Technicians",8410.75,6520,8396.25,7449.5,
Northern Ireland,312,Draughtspersons and Related Architectural Technicians,56376.75,56263.75,58883.75,51023.25,Using UK figures
Northern Ireland,313,Information Technology Technicians,198483.75,201852.25,190649.75,179257.75,Using UK figures
Northern Ireland,321,Health Associate Professionals,145311.25,142026,145070,142568.5,Using UK figures
Northern Ireland,323,Welfare and Housing Associate Professionals,278254,282949.75,277041,283313.25,Using UK figures
Northern Ireland,331,Protective Service Occupations,378666.5,350455.5,351057,351820,Using UK figures
Northern Ireland,341,"Artistic, Literary and Media Occupations",328296.5,329043.5,360915,370005,Using UK figures
Northern Ireland,342,Design Occupations,131162.75,141700,135107.25,162057.5,Using UK figures
Northern Ireland,344,Sports and Fitness Occupations,139931,139335,156340.5,165990,Using UK figures
Northern Ireland,352,Legal Associate Professionals,56700.5,69605,54812.75,67705,Using UK figures
Northern Ireland,353,"Business, Finance and Related Associate Professionals",12563.75,10955.25,8902.25,9297.5,
Northern Ireland,354,"Sales, Marketing and Related Associate Professionals",18242.75,15527.75,17837,17519.25,
Northern Ireland,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
Northern Ireland,356,Public Services and Other Associate Professionals,10861,10359.75,14874.25,17567.75,
Northern Ireland,411,Administrative Occupations: Government and Related Organisations,28152.75,25215.5,29216,30079.25,
Northern Ireland,412,Administrative Occupations: Finance,22401.25,21023.75,17872.5,19089.25,
Northern Ireland,413,Administrative Occupations: Records,8545.5,7413.5,7665.75,8907.25,
Northern Ireland,416,Administrative Occupations: Office Managers and Supervisors,200785.75,199948,195202.75,211816.5,Using UK figures
Northern Ireland,421,Secretarial and Related Occupations,21169,19007.75,21179.25,18554.5,
Northern Ireland,511,Agricultural and Related Trades,18500.5,20185.25,19827.75,12655.25,
Northern Ireland,521,"Metal Forming, Welding and Related Trades",95192.5,102994.5,118682.25,112716.25,Using UK figures
Northern Ireland,522,"Metal Machining, Fitting and Instrument Making Trades",6330.75,10459.25,9932.25,9649,
Northern Ireland,523,Vehicle Trades,7464,9777.25,8174.75,7506.25,
Northern Ireland,524,Electrical and Electronic Trades,10378.5,12075.75,12500.5,14840,
Northern Ireland,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",37329.75,39869,39283.75,36742.25,Using UK figures
Northern Ireland,531,Construction and Building Trades,23268,22672.75,28880.5,25839.25,
Northern Ireland,532,Building Finishing Trades,199039.5,198052.5,199253.75,205883.5,Using UK figures
Northern Ireland,533,Construction and Building Trades Supervisors,57832.75,51043,55990,58700.75,Using UK figures
Northern Ireland,541,Textiles and Garments Trades,39266.75,40970.75,46384,43210,Using UK figures
Northern Ireland,542,Printing Trades,57083.75,50388.75,61576.75,55648.5,Using UK figures
Northern Ireland,543,Food Preparation and Hospitality Trades,15453.75,22361.25,14214.75,11473.25,
Northern Ireland,544,Other Skilled Trades,96284.75,92772.25,94846,99167,Using UK figures
Northern Ireland,612,Childcare and Related Personal Services,20949,21721.25,28315.75,24514,
Northern Ireland,613,Animal Care and Control Services,66870.5,74125.25,83761,85503.75,Using UK figures
Northern Ireland,614,Caring Personal Services,32197.5,36612.5,32679.5,30354,
Northern Ireland,621,Leisure and Travel Services,180883.75,175346.5,168131,172110.75,Using UK figures
Northern Ireland,622,Hairdressers and Related Services,8970,8511,10844.5,9671.25,
Northern Ireland,711,Sales Assistants and Retail Cashiers,43740.75,49978.5,42948.25,46644.5,
Northern Ireland,712,Sales Related Occupations,156565,148636.5,155709.25,159292,Using UK figures
Northern Ireland,713,Sales Supervisors,204427.75,187918.5,199133,179606.75,Using UK figures
Northern Ireland,721,Customer Service Occupations,8982,10113.5,9817.5,12115,
Northern Ireland,722,Customer Service Managers and Supervisors,128689.5,117383.5,129640.75,127116,Using UK figures
Scotland,222,Therapy Professionals,11604.75,16327.25,12089.75,13707,
Scotland,223,Nursing and Midwifery Professionals,62709.25,70063.5,66265.25,66749,
Scotland,231,Teaching and Educational Professionals,115916.25,119792,112375.75,130607.25,
Scotland,241,Legal Professionals,11997.25,13964.5,12557,12402.5,
Scotland,242,"Business, Research and Administrative Professionals",45426.5,47711.25,46041.25,49177.5,
Scotland,243,"Architects, Town Planners and Surveyors",20187.5,18763.25,18782.75,16348.75,
Scotland,244,Welfare Professionals,19152,20857.75,16711.75,17542.25,
Scotland,245,Librarians and Related Professionals,32136.5,39633.5,35890.5,36878.5,Using UK figures
Scotland,246,Quality and Regulatory Professionals,9675.5,12645.25,8573.25,10612.25,
Scotland,247,Media Professionals,142164,136728.75,144046.75,147146.25,Using UK figures
Scotland,311,"Science, Engineering and Production Technicians",27151.5,28970.5,32767.25,24842.25,
Scotland,312,Draughtspersons and Related Architectural Technicians,56376.75,56263.75,58883.75,51023.25,Using UK figures
Scotland,313,Information Technology Technicians,12167.75,15179,17694.25,14549.25,
Scotland,321,Health Associate Professionals,11574,8872.75,11695.25,11178.5,
Scotland,323,Welfare and Housing Associate Professionals,28221.25,29140.25,32548.75,33191.25,
Scotland,331,Protective Service Occupations,33538.75,34279.5,37044.5,36207.75,
Scotland,341,"Artistic, Literary and Media Occupations",21208,18150.25,18349,20176.25,
Scotland,342,Design Occupations,131162.75,141700,135107.25,162057.5,Using UK figures
Scotland,344,Sports and Fitness Occupations,15057.5,14023,12087.75,13115.75,
Scotland,352,Legal Associate Professionals,56700.5,69605,54812.75,67705,Using UK figures
Scotland,353,"Business, Finance and Related Associate Professionals",44941.75,40936.75,46848,48130.5,
Scotland,354,"Sales, Marketing and Related Associate Professionals",57352,51170.75,52125,57144.5,
Scotland,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
Scotland,356,Public Services and Other Associate Professionals,42051,41262.5,44804.75,39586.5,
Scotland,411,Administrative Occupations: Government and Related Organisations,48057.75,45151,46906.5,50245.25,
Scotland,412,Administrative Occupations: Finance,60710,61886.75,72884,70524.75,
Scotland,413,Administrative Occupations: Records,38437.5,31260.5,35071,36750.75,
Scotland,416,Administrative Occupations: Office Managers and Supervisors,16762,18427.5,13013.5,16655.25,
Scotland,421,Secretarial and Related Occupations,48290.75,57735.25,55617.25,60411,
Scotland,511,Agricultural and Related Trades,33636.5,32462.25,34849.75,28036.5,
Scotland,521,"Metal Forming, Welding and Related Trades",8343.75,10618.5,12296.5,10121.5,
Scotland,522,"Metal Machining, Fitting and Instrument Making Trades",22221.5,28638.5,28801,27809.5,
